playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,PA,OBP,SLG,OPS,OPS_Plus,TB
gausmke01,2017,1,BAL,AL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
gavigsa01,2017,1,SEA,AL,2,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.200,5,0.200,0.200,0.400,10,1
gearrco01,2017,1,SFG,NL,66,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
gennesc01,2017,1,CIN,NL,141,461,80,136,22,3,27,97,3,2,30,114,1,4,0,2,15,0.295,497,0.342,0.531,0.874,124,245
gentrcr01,2017,1,BAL,AL,77,101,17,26,5,1,2,11,5,4,11,24,0,1,3,1,1,0.257,117,0.333,0.386,0.719,94,39
giavojo01,2017,1,BAL,AL,7,10,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0.100,10,0.100,0.100,0.200,-45,1
gileske01,2017,1,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gillaco01,2017,1,SFG,NL,44,80,8,13,4,0,2,8,0,0,5,10,0,1,0,1,3,0.163,87,0.218,0.288,0.506,33,23
gilmase01,2017,1,NYM,NL,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.000,1,1.000,2.000,3.000,667,2
gimench01,2017,1,MIN,AL,74,186,28,41,9,0,7,16,1,0,33,60,0,4,2,0,3,0.220,225,0.350,0.382,0.731,97,71
givenmy01,2017,1,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
glasnty01,2017,1,PIT,NL,18,17,1,5,0,0,0,3,0,0,4,7,0,1,1,0,0,0.294,23,0.455,0.294,0.749,104,5
gloveko01,2017,1,WSN,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
godleza01,2017,1,ARI,NL,25,42,1,2,0,0,0,2,0,0,2,26,0,0,9,0,0,0.048,53,0.091,0.048,0.139,-63,2
goedder01,2017,1,NYM,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
goforda01,2017,1,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
goharlu01,2017,1,ATL,NL,5,9,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0.000,10,0.000,0.000,0.000,-100,0
goinsry01,2017,1,TOR,AL,143,418,37,99,21,1,9,62,3,2,31,96,0,0,5,5,14,0.237,459,0.286,0.356,0.643,68,149
goldspa01,2017,1,ARI,NL,155,558,117,166,34,3,36,120,18,5,94,147,15,8,0,4,14,0.297,665,0.404,0.563,0.966,140,314
gomesya01,2017,1,CLE,AL,105,341,43,79,15,0,14,56,0,0,31,99,0,8,1,2,9,0.232,383,0.309,0.399,0.708,83,136
gomezca01,2017,1,TEX,AL,105,368,51,94,23,1,17,51,13,5,31,127,0,19,3,5,3,0.255,426,0.340,0.462,0.802,106,170
gomezje01,2017,1,PHI,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gomezmi01,2017,1,SFG,NL,22,33,3,8,2,0,0,2,0,0,0,6,0,0,0,1,1,0.242,34,0.235,0.303,0.538,42,10
gomezro01,2017,1,SFG,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gonzaad01,2017,1,LAD,NL,71,231,14,56,17,0,3,30,0,1,16,43,1,0,0,4,7,0.242,252,0.287,0.355,0.642,69,82
gonzaca01,2017,1,COL,NL,136,470,72,123,34,0,14,57,3,0,56,119,3,2,0,6,9,0.262,534,0.339,0.423,0.762,87,199
gonzaer01,2017,1,CLE,AL,60,110,18,28,6,0,4,11,1,2,3,37,0,0,1,1,1,0.255,115,0.272,0.418,0.690,77,46
gonzagi01,2017,1,WSN,NL,30,66,3,6,0,0,0,5,0,0,4,29,0,0,5,0,0,0.091,75,0.143,0.091,0.234,-37,6
gonzama01,2017,1,HOU,AL,134,455,67,138,34,0,23,90,8,3,49,99,4,6,3,2,8,0.303,515,0.377,0.530,0.907,149,241
gonzama02,2017,1,SEA,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.000,2,0.000,0.000,0.000,-100,0
gonzama02,2017,2,STL,NL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1,1.000,1.000,2.000,433,1
gonzami03,2017,1,CHW,AL,3,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.000,7,0.000,0.000,0.000,-100,0
gonzami03,2017,2,TEX,AL,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,1,0.000,0.000,0.000,0,0
